,Nama,Ulasan,Rating
0,House of Smith T Shirt Fact Tshirt Heather Grey - Kaos Pria Lengan Pendek,"Bahan & sablonnya bagus, cuma pengiriman agak lama.",4
1,House of Smith Slipper Sandals Sanbloops #4 - Sendal Slide Pria,Bagus sesuai,5
2,House of Smith Bomber Jacket Bomen Black #5 - Jaket Bomber Pria Hitam,"Kualitas produk: Produk oke, pelayanan oke.....",5
3,House of Smith Kaos Polo Pria Morreti Polo Zip Black - Polo Shirt,mantabbb,5
4,House of Smith Wallet Wallford Crazo Brown #4 - Dompet Pria,Sangat bagus,5
5,House of Smith Tas Selempang Duff Bag Black #6 - Duffle Bag,Bahan: Bagus Kualitas pengerjaan: Bagus,5
6,House of Smith Bag Backpack N Mypack - Tas Punggung,e,5
7,House of Smith  Hoodie Embroidery 1 #20 - Sweater Hoodie Pria Casual,Bagus bahan nya adem,5
8,House of Smith Jacket Sentinel Quilted Jacket - Jaket Bomber Pria,Bagus,5
9,House of Smith Bomber Jacket Bomith Black #3  - Jaket Bomber Pria  Hitam,bahanya bagusss halus,5
10,House of Smith Bag Backpack N Mypack - Tas Punggung,Kapasitas: Sangat baik dan bagus Bahan: Sesuai sama gambar nya (NAVY) Kualitas pengerjaan: Sangat baik,5
11,House of Smith Harrington Jacket Hangor Brown #3 - Jaket Harrington Pria,bagus,5
12,House of Smith Corduroy Long Cargo Pants Cordugo Pants Black #2 - Celana Corduroy Cargo Panjang Pria,Sangat bagus,5
13,House of Smith T Shirt Sandstone Logo Tshirt Black #2 - Kaos Pria Lengan Pendek,Ok,5
14,House of Smith Northwave Oversized Hoodie Alaskan Blue #3 - Sweater Hoodie Oversized Pria,mntap,5
15,House of Smith Rash Hoodie Black #8 - Sweater Hoodie Pria,bagus bnget,5
16,House of Smith Bomber Jacket Bomen Black #5 - Jaket Bomber Pria Hitam,Bagus,5
17,House Of Smith  Lpl Misty #45 - Sweater Hoodie Casual Pria Fleece,The besttttt sambil nunggunya lumayan lama juga karena nunggu restok lagi yg ukuran L akhirnya restok lagi maaciwwww🫶🏻🥰🤏🏻,5
18,House of Smith Sandrock Gory Oversized Hoodie - Sweater Hoodie Oversized Pria,Kualitas produk: Bagus,5
19,House of Smith T Shirt Apples Tshirt Cappucino - Kaos Pria Lengan Pendek,"Bahan oke, nyaman di pake.. Sesuai deskripsi... Mantaaap lanjutkan brand lokal andalan...",5
20,House of Smith T Shirt Forged Tshirt - Kaos Pria Lengan Pendek,"Bahan oke, nyaman di pake.. Sesuai deskripsi... Mantaaap lanjutkan brand lokal andalan...",5
21,House of Smith Harrington Jacket Hangor Black #6 - Jaket Harrington Pria Hitam,Kualitas produk: mantapp,5
22,House of Smith Merchandise Sticker - New Smith Sticker Pack #4 (1 Pack = 15 pcs sticker),.,5
23,House of Smith Hos Studio Waffle Knit Boxy Sweater - Sweater Crewneck Boxy Pria,good quality 👍👍👍,5
24,House of Smith T Shirt Black Skip Union #13 - Kaos Pria Lengan Pendek,Oke,5
25,House of Smith Jacket Cruff Track Jacket Grey N Navy - Jaket Tracktop Pria,"Jaket nya ukuran nya kecil, biasa saya pakai ukuran xl, tapi ini ke kecilan xl nya, jadi ngak bisa dilakai",1
26,House of Smith T Shirt Fact Tshirt Heather Grey - Kaos Pria Lengan Pendek,Sesuai dan josss,5
27,House of Smith Hos keychain - Keychain,bagus,5
28,House of Smith Kaos Polo Pria Waffle - Polo Shirt,"bahannya enak dingin pas dipake, gak tebel dan gak tipis, intinya pas dan nyaman ⭐⭐⭐⭐⭐⭐⭐⭐",5
